draft,type,num,date,day,slides,readings,assignments
,,11,10-Oct,Wed,"[Slides for all topics below (Postgres, SQL Basics)](slides/db/postgres.html)

Files

* [Movies](sql/basics/movies.sql)
* [Transcript of SQL written in class](sql/basics/basics-transcript.sql)

Importing Data

Basic Postgres Administration

* Configuration Files

Creating Single Tables

* Data Types
* Simple Constraints (Unique)

Commandline Client, SQL, and Simple Queries

* psql
* Insert
* Select
* Update
* Delete

","PostgreSQL: Up and Running

* Ch 1: The Basics 
  * PostgreSQL Database Objects 
* Ch 2: Database Administration
  * Configuration Files
  * Database Creation
* Ch5: Data Types
  * Numerics
  * Textuals
  * Temporals

Official Documentation 

* [Data Types](https://www.postgresql.org/docs/10/static/datatype.html) and [creating tables](https://www.postgresql.org/docs/current/static/sql-createtable.html)
* [INSERT](https://www.postgresql.org/docs/current/static/sql-insert.html), [SELECT](https://www.postgresql.org/docs/current/static/sql-select.html)
* [GROUP BY](https://www.postgresql.org/docs/current/static/sql-select.html#SQL-HAVINGhttps://www.postgresql.org/docs/current/static/sql-select.html#SQL-GROUPBY) and [HAVING](https://www.postgresql.org/docs/current/static/sql-select.html#SQL-HAVING)
* [UPDATE](https://www.postgresql.org/docs/current/static/sql-update.html) and [DELETE](https://www.postgresql.org/docs/current/static/sql-delete.html)
* [ALTER TABLE](https://www.postgresql.org/docs/10/static/sql-altertable.html)
* [COPY, Import](https://www.postgresql.org/docs/10/static/sql-copy.html)

postgresqltutorial 

* [SELECT](http://www.postgresqltutorial.com/postgresql-select/)
* [ORDER BY](http://www.postgresqltutorial.com/postgresql-order-by/)
* [DISTINCT](http://www.postgresqltutorial.com/postgresql-select-distinct/)
* [WHERE](http://www.postgresqltutorial.com/postgresql-where/)
* [LIMIT](http://www.postgresqltutorial.com/postgresql-limit/)
* [GROUP BY](http://www.postgresqltutorial.com/postgresql-group-by/)
* [HAVING](http://www.postgresqltutorial.com/postgresql-having/)
* [COPY, Import](http://www.postgresqltutorial.com/import-csv-file-into-posgresql-table/)


<!--

Python for Data Analysis

* Ch 8: Data Wrangling: Join, Combine, Reshape
* Ch 10: Data Aggregation and Group By
* Ch 11: Time Series
-->","__Homework #04__ – due Thu 10/18 at 11pm

1. [Homework #04 Instructions](assignments/04.html) 
"
,,12,15-Oct,Mon,"

Sample Questions for Midterm and About Exam

* [Sample Questions and Solution](resources/handouts/midterm/midterm_sample_questions.pdf)
* The reference is still a draft!
* [Notes from class re: exam topics / format](slides/midterm.html)

Homework 04

Example Import

* [2010 Census Data](https://www.census.gov/geo/maps-data/data/gazetteer2010.html)
* [Transcript of SQL written in class](sql/basics/import-transcript.sql)

Relational Database Design

* Relations / Foreign Key Constraints
* ER Diagrams
* Normalization


",,
,,13,17-Oct,Wed,"Review

* [sql transcript for distinct, group by / having](sql/midterm-review/review.sql)
* [midterm review notebook](notebooks/midterm-review/review.ipynb)

HAVING and BETWEEN

* [sql HAVING and BETWEEN questions](slides/db/having-between.html)



",,
,exam  ,14,22-Oct,Mon,Exam 1,,
,,15,24-Oct,Wed,"Database Design

* Relational Model / Relational Algebra
* Normalization

Data Modeling, Reverse Engineering

* [Sample Databases for Postgres](https://wiki.postgresql.org/wiki/Sample_Databases)
* [pgmodeler for Data Modeling and Reverse Engineering](https://pgmodeler.io/)
* ER Diagrams

Multiple Tables (Joins)

* [Movies Revisited](sql/joins/movies.sql)
* Foreign Key (REFERENCES table (col))
* [Joins](slides/db/joins.html)

Discuss Midterm Exam Solutions?

<!--
* in-depth study of SQL for data analysis and for manipulating RDBMS.
* JOINs and all facets for standard SQL programming and development. 
* UNION and related queries
* Study of aggregate queries
* In-depth look at nested queries
* Use single tables for aggregate queries and related queries for deep dives into data sets 

Data Wrangling (without databases)

* Joins
* Pivots
-->

","* [Normalization (from MariaDB docs)](https://mariadb.com/kb/en/library/database-normalization/)
* [Foreign key constraint](http://www.postgresqltutorial.com/postgresql-foreign-key/)
* [Inner join](http://www.postgresqltutorial.com/postgresql-inner-join/)
* [Left outer join](http://www.postgresqltutorial.com/postgresql-left-join/)
* [Full outer join](http://www.postgresqltutorial.com/postgresql-full-outer-join/)
* [Self join](http://www.postgresqltutorial.com/postgresql-self-join/)",
,,16,29-Oct,Mon,"Database Design and Normalization 

* [Database Design](slides/db/design.html) 
* See previous slides on Joins
",,
,,17,31-Oct,Wed,"Database Design and Normalization Practice

* Database Design Review (News Site?)
* [IMDB Horror Movie Dataset](https://www.kaggle.com/PromptCloudHQ/imdb-horror-movie-dataset)
* [In class](sql/design/class17-movies.sql)
",,
,,18,05-Nov,Mon,"Database Design and Normalization Practice Continued


* (Again) [IMDB Horror Movie Dataset](https://www.kaggle.com/PromptCloudHQ/imdb-horror-movie-dataset)
* [Database and Schema](sql/design/staging.sql)
* [Tables](sql/design/movies-schema-draft-2.sql)
* [Annotated / Complete](sql/design/movies.sql)",,
,,19,07-Nov,Wed,"Resources

* [Popular Names from Social Security Administration (First Names)](https://www.ssa.gov/cgi-bin/popularnames.cgi)
* [Behind the Name (Surnames)](https://surnames.behindthename.com/)
* [names.txt](sql/names.txt)
* [domains.txt](sql/domains.txt)

Indexes, Query Planner

* [EXPLAIN / ANALYZE](slides/db/indexes.html)



Maybe Python and Postgres

* psycopg2
* psycopg2.connect(dbname, user)
* conn.cursor()
* cur.execute()
* cur.fetchone()
* cur.fetchall()","PostgreSQL Up & Running


* Chapter 6: Tables, Constraints, and Indexes
  * Tables - Basic Table Creation
  * Constraints – Foreign Key Constraints
  * Constraints – Unique Constraints
* Indexes
  * PostreSQL Stock Indexes
* Chapter 8: Writing Functions
  * Anatomy of PostgreSQL Functions – Function Basics
  * Writing PL/pgSQL Functions – Basic PL/pgSQL Function
* Chapter 9: Query Preformance Tuning
  * EXPLAIN

Query Planner

* [Planner/Optimizer from PostgreSQL Docs](https://www.postgresql.org/docs/current/planner-optimizer.html)

Functions, Variables Online Resources


* [PostgreSQL Tutorial: CREATE FUNCTION](http://www.postgresqltutorial.com/postgresql-create-function/)
* [PostgreSQL Tutorial: Function Parameters](http://www.postgresqltutorial.com/plpgsql-function-parameters/)
* [PostgreSQL Tutorial: Variables](http://www.postgresqltutorial.com/plpgsql-variables/)


Index Online Resources

* [Anatomy of an index](https://use-the-index-luke.com/sql/anatomy)
* [CREATE INDEX from PostgreSQL Docs](https://www.postgresql.org/docs/current/sql-createindex.html)
* [Index-Only Scans from PostgreSQL Docs](https://www.postgresql.org/docs/current/indexes-index-only-scans.html)
* [Tour of PostgreSQL Index Types](https://www.citusdata.com/blog/2017/10/17/tour-of-postgres-index-types/)
* [Principles and Applications of the Index Types Supported by PostgreSQL
](https://medium.com/@Alibaba_Cloud/principles-and-applications-of-the-index-types-supported-by-postgresql-481f59bab67d)","__Homework #05__ – due Mon 11/19 at 11pm

1. [Homework #05 Instructions](assignments/05.html) 
"
,,20,12-Nov,Mon,"<!--
Date/Time, Pivot

* [Dates and Timezones](db/datetime.html)
* [Pivot Tables](db/pivot.html)

Additional Administration

* [Backups / Replication, Vacuum](backups.html)
-->

MOMA Collection

* [MOMA Collection GitHub Page](https://github.com/MuseumofModernArt/collection)
  * [git lfs install](https://help.github.com/articles/installing-git-large-file-storage/) (can also be done through [homebrew](https://brew.sh/))
  * use `git pull` or `git lfs pull` to download csvs
* [moma-create.sql](sql/py/moma-create.sql)
* [moma-import.sql](sql/py/moma-import.sql)
* [moma-queries.sql](sql/py/moma-queries.sql)


Postgres and Python

* [psycopg2](slides/py-db/psycopg2.html)
* [SQLAlchemy Demo](slides/py-db/sql-alchemy.html)

<!--
* [pandas and postgres](slides/py-db/pandas.html)
-->



","Python for Data Analysis

* Ch 6: Data Loading, Storage, and File Formats (6.4)
* Ch 8: Data Wrangling: Join, Combine, and Reshape
* Ch 10: Data Aggregation and Group Operations

Online Resources

* [psycopg2 example usage from official documentation](http://initd.org/psycopg/docs/usage.html)",
,,21,14-Nov,Wed,"Postgres and Python Continued (See Previous Slides)

",,
,,22,19-Nov,Mon,"Postgres and Python Finale!

* [SQLAlchemy Details](slides/py-db/sql-alchemy-relationships.html)
* [pandas and Databases](slides/py-db/pandas.html)

NoSQL (mongodb)

* MongoDB preview                                                                                                                                  
",,
,holiday,,21-Nov,Wed,Thanksgiving,,
,,23,26-Nov,Mon,"MongoDB Continued

* [MongoDB Intro](slides/mongo/intro.html)
  * [books.csv](mongo/books.csv)
  * [books_fields.txt](mongo/books_fields.txt)
  * [wifi3.json](mongo/wifi3.json)
* [MongoDB Database Design](slides/mongo/design.html)


<!--
* [Python + MongoDB](slides/mongo/python.html)
* JSON format in depth                                                                                                                 
  1. Nested objects                                                                                                                  
* compare/contrast MongoDB with SQL.                                                                                                   
* Accessing MongoDB                                                                                                                    
  1. from command line (e.g. mongo shell)                                                                                            
  2. from Python libraries (e.g. pymongo module)                                                                                     
* Basic CRUD                                                                                                                           


Geo-spacial Data

* PostGIS
* Geo-spatial data queries 

Python and NoSQL 
-->","* [MongoDB Data Model Design](https://docs.mongodb.com/manual/core/data-model-design/)
* [MongoDB Data Model Examples and Patterns](https://docs.mongodb.com/manual/applications/data-models/)
  * (see all sections under Model Relationships Between Documents)",
,,24,28-Nov,Wed,"Visualization Revisited (web-based)

* [svg + d3](d3/overview.html)

<!--
* bokeh again (or for first time?)
* plotly again (or for first time?)


Cloud Data Storage (Firebase, S3, RDS)

* S3
* RDS
* Firebase
-->",,"__Homework #06__ – due Fri 12/7 at 11pm

1. [Homework #06 Instructions](assignments/06.html) 
"
,,25,03-Dec,Mon,"Cloud Data Storage (Firebase)

* See Lab #01 in last column

<!--
* bokeh again (or for first time?)
* plotly again (or for first time?)


Cloud Data Storage (Firebase, S3, RDS)

* S3
* RDS
* Firebase
-->",,"__Lab #01__ - due today at end of class

* [Lab #01 – Firebase / d3](assignments/01-lab-firebase-d3.html)"
y,,26,05-Dec,Wed,"Processing Large Data Sets (Spark or Hadoop)

* Hadoop, Parque",,
y,,27,10-Dec,Mon,Review,,
y,exam  ,28,12-Dec,Wed,Exam 2,,
