draft,type,num,date,day,slides,readings,assignments,
y,,11,8-Oct,Tue,"Basic Postgres Administration

Files

* [Movies](sql/basics/movies.sql)
* [Transcript of SQL written in class](sql/basics/basics-transcript.sql)

Importing Data

* [2010 Census Data](https://www.census.gov/geo/maps-data/data/gazetteer2010.html)
* [Transcript of SQL written in class](sql/basics/import-transcript.sql)
* TODO - copy, etc.

Data Types

* TODO - data types

Basic Math and Stats

* TODO - math and stats

Queries Continued

* TODO - queries continued","Practical SQL
 
 * Ch 3: Understanding Data Types
 * Ch 4: Importing and Exporting Data
 * Ch 5: Basic Math and Stats With SQL
 
 Postgres Documentation
 
 * [Data Types](https://www.postgresql.org/docs/10/static/datatype.html)
 * [COPY, Import](https://www.postgresql.org/docs/10/static/sql-copy.html)
 
 postgresqltutorial
 
 * [SELECT](http://www.postgresqltutorial.com/postgresql-select/)
 * [ORDER BY](http://www.postgresqltutorial.com/postgresql-order-by/)
 * [DISTINCT](http://www.postgresqltutorial.com/postgresql-select-distinct/)
 * [WHERE](http://www.postgresqltutorial.com/postgresql-where/)
 * [LIMIT](http://www.postgresqltutorial.com/postgresql-limit/)
 * [COPY, Import](http://www.postgresqltutorial.com/import-csv-file-into-posgresql-table/)","__Homework #05__ – due Thu 10/18 at 11pm

1. [Homework #05 Instructions](assignments/05.html)

* use earlier data set and import into database
* calculate some basic stats
* compare with python?",
y,,12,10-Oct,Thu,"Constraints

* TODO - Constraints

Naming Conventions

* TODO - Naming conventions

Multiple Tables (Joins)

* TODO - Preview multiple tables - discuss fk

Sample Questions for Midterm and About Exam

* [Sample Questions and Solution](resources/handouts/midterm/midterm_sample_questions.pdf)
* The reference is still a draft!
* [Notes from class re: exam topics / format](slides/midterm.html)
","Practical SQL
 
 * Ch 6: Joining Tables in a Relational Database
 * Ch 7: Table Design That Works for You (Naming Tables, Columns, and Other Identifiers, Controlling Column Values with Constraints)",,"ADD QUIZ FOR THESE TOPICS!

MATERIAL:

TODO - add constraints
TODO - add naming conventions"
y,,13,17-Oct,Thu,"Review First Part of the Semester

* [midterm review notebook](notebooks/midterm-review/review.ipynb)
",,,
y,exam,14,22-Oct,Tue,Exam #1,,,
y,,15,24-Oct,Thu,"Multiple Tables (Joins) Continued


* [Movies Revisited](sql/joins/movies.sql)
* Foreign Key (REFERENCES table (col))
* [Joins](slides/db/joins.html)

Database Design

* [Database Design](slides/db/design.html) 
* See previous slides on Joins

Entities and Relationships

* [Sample Databases for Postgres](https://wiki.postgresql.org/wiki/Sample_Databases)
* [pgmodeler for Data Modeling and Reverse Engineering](https://pgmodeler.io/)
* ER Diagrams

The Relational Data Model

* Relational Model / Relational Algebra
* Normalization

Diagrams","Relational Database Design and Implementation
 
 Ch 3: Why Good Design Matters
 Ch 4: Entities and Relationships
 Ch 5: The Relational Data Model
 
 Online Resources
 
 * [Normalization (from MariaDB docs)](https://mariadb.com/kb/en/library/database-normalization/)
 * [Foreign key constraint](http://www.postgresqltutorial.com/postgresql-foreign-key/)
 * [Inner join](http://www.postgresqltutorial.com/postgresql-inner-join/)
 * [Left outer join](http://www.postgresqltutorial.com/postgresql-left-join/)
 * [Full outer join](http://www.postgresqltutorial.com/postgresql-full-outer-join/)
 * [Self join](http://www.postgresqltutorial.com/postgresql-self-join/)","
HW 06:


* joins!
* multi table
* ER Diagram
",
y,,16,29-Oct,Tue,"Subqueries

* TODO - subqueries

Common Table Expressions

* TODO - cte

Conditionals

* TODO - conditionals

Manipulating Text

* TODO - text manipulation","Practical SQL
 
 * Ch 12. Advanced Query Techniques
 * Ch 13: Mining Text to Find Meaningful Data",,
y,,17,31-Oct,Thu,"TODO - move subqueries and / or CTE's up

Normalization

* TODO - normalization slides

Relational Database Design Rules / Tips

* Database Design Review (News Site?)
* [IMDB Horror Movie Dataset](https://www.kaggle.com/PromptCloudHQ/imdb-horror-movie-dataset)
* [In class](sql/design/class17-movies.sql)

Implementation

* (Again) [IMDB Horror Movie Dataset](https://www.kaggle.com/PromptCloudHQ/imdb-horror-movie-dataset)
* [Database and Schema](sql/design/staging.sql)
* [Tables](sql/design/movies-schema-draft-2.sql)
* [Annotated / Complete](sql/design/movies.sql)

","Relational Database Design and Implementation
 
 * Ch 6. Normalization
 * Ch 8. Codd's Rules for Relational Database Design
 * Ch 9. Using SQL to Implement a Relational Design","
HW 07:

* Database Design - ER Diagram
* Implement
* normalization practice
* CTE?",
y,,18,05-Nov,Tue,"Aggregation and Grouping

* [sql transcript for distinct, group by / having](sql/midterm-review/review.sql)
* [sql HAVING and BETWEEN questions](slides/db/having-between.html)

Modifying data

Transactions

Dates and Times","Practical SQL
 
 * Ch 8. Extracting Information by Grouping and Summarizing
 * Ch 9: Inspecting and Modifying Data
 * Ch 11: Working With Dates and Times
 
 Postgres Documentation
 
 * [GROUP BY](https://www.postgresql.org/docs/current/static/sql-select.html#SQL-GROUPBY)
 * [HAVING](https://www.postgresql.org/docs/current/static/sql-select.html#SQL-HAVING)
 * [UPDATE](https://www.postgresql.org/docs/current/static/sql-update.html) and [DELETE](https://www.postgresql.org/docs/current/static/sql-delete.html)
 * [ALTER TABLE](https://www.postgresql.org/docs/10/static/sql-altertable.html)
 
 postgrestutorial
 
 * [GROUP BY](http://www.postgresqltutorial.com/postgresql-group-by/)
 * [HAVING](http://www.postgresqltutorial.com/postgresql-having/)",,
y,,19,7-Nov,Thu,"Indexes, Query Planner

* [EXPLAIN / ANALYZE](slides/db/indexes.html)
* [Popular Names from Social Security Administration (First Names)](https://www.ssa.gov/cgi-bin/popularnames.cgi)
* [Behind the Name (Surnames)](https://surnames.behindthename.com/)
* [names.txt](sql/names.txt)
* [domains.txt](sql/domains.txt)

Performance Tuning

* TODO - performance

Views

* TODO - views

Functions

* TODO - functions

Triggers

* TODO - triggers","Practical SQL
 
 * Ch 7: Table Design That Works for You (Speeding Up Queries with Indexes)
 * Ch 15: Saving Time with Views, Functions and Triggers
 
 Relational Database Design and Implementation
 
 * Ch 7: Database Structure and Performance Tuning


Functions, Variables Online Resources


* [PostgreSQL Tutorial: CREATE FUNCTION](http://www.postgresqltutorial.com/postgresql-create-function/)
* [PostgreSQL Tutorial: Function Parameters](http://www.postgresqltutorial.com/plpgsql-function-parameters/)
* [PostgreSQL Tutorial: Variables](http://www.postgresqltutorial.com/plpgsql-variables/)


Index Online Resources

* [Planner/Optimizer from PostgreSQL Docs](https://www.postgresql.org/docs/current/planner-optimizer.html)
* [Anatomy of an index](https://use-the-index-luke.com/sql/anatomy)
* [CREATE INDEX from PostgreSQL Docs](https://www.postgresql.org/docs/current/sql-createindex.html)
* [Index-Only Scans from PostgreSQL Docs](https://www.postgresql.org/docs/current/indexes-index-only-scans.html)
* [Tour of PostgreSQL Index Types](https://www.citusdata.com/blog/2017/10/17/tour-of-postgres-index-types/)
* [Principles and Applications of the Index Types Supported by PostgreSQL
](https://medium.com/@Alibaba_Cloud/principles-and-applications-of-the-index-types-supported-by-postgresql-481f59bab67d)","__Homework #08__ – due Mon 11/19 at 11pm

1. [Homework #08 Instructions](assignments/05.html)

* create view
* cli inventory app maybe???
* aggregates, time series, etc. on data set with multiple tables

","

MATERIAL:

* TODO - SQL injection demo"""
y,,20,12-Nov,Tue,"Security

* TODO - Security

Maintenance

* TODO - Maintenance
* TODO - [Backups / Replication, Vacuum](backups.html)


Postgres and Python

* [psycopg2](slides/py-db/psycopg2.html)
* [SQLAlchemy Demo](slides/py-db/sql-alchemy.html)
* [SQLAlchemy Details](slides/py-db/sql-alchemy-relationships.html)
* [pandas and Databases](slides/py-db/pandas.html)
* psycopg2
* psycopg2.connect(dbname, user)
* conn.cursor()
* cur.execute()
* cur.fetchone()
* cur.fetchall()
* [MOMA Collection GitHub Page](https://github.com/MuseumofModernArt/collection)
  * [git lfs install](https://help.github.com/articles/installing-git-large-file-storage/) (can also be done through [homebrew](https://brew.sh/))
  * use `git pull` or `git lfs pull` to download csvs
* [moma-create.sql](sql/py/moma-create.sql)
* [moma-import.sql](sql/py/moma-import.sql)
* [moma-queries.sql](sql/py/moma-queries.sql)","Relational Database Design and Implementation
 
 * Ch 15: Security
 
 Practical SQL
 
 * Ch 17: Maintaining Your Database

Documentation

* [psycopg2 example usage from official documentation](http://initd.org/psycopg/docs/usage.html)",,
y,,21,14-Nov,Thu,"NoSQL (mongodb)

* [MongoDB Intro](slides/mongo/intro.html)
 * [books.csv](mongo/books.csv)
 * [books_fields.txt](mongo/books_fields.txt)
 * [wifi3.json](mongo/wifi3.json)
* [MongoDB Database Design](slides/mongo/design.html)

","* [MongoDB Data Model Design](https://docs.mongodb.com/manual/core/data-model-design/)
 * [MongoDB Data Model Examples and Patterns](https://docs.mongodb.com/manual/applications/data-models/)
 * (see all sections under Model Relationships Between Documents)","HW 09:
 
* Python and postgres
* MongoDB Assignment or Lab?",
y,,22,19-Nov,Tue,NoSQL (mongodb) Continued,Same as Previous,,
y,,23,21-Nov,Thu,"Geo-spatial Data (GIS with pandas, postgres, mongodb)","Practical SQL
 
 Ch 14: Analyzing Spatial Data with PostGIS",,
y,,24,26-Nov,Tue,Cloud Storage,https://firebase.google.com/docs/firestore/ (Introduction to Secure and Validate Data),,
y,holiday,,28-Nov,Thu,Thanksgiving Recess: No classes scheduled,,,
y,,25,3-Dec,Tue,"Web Based Visualization (D3)

* [svg + d3](d3/overview.html)
","https://bost.ocks.org/mike/bar/
 https://bost.ocks.org/mike/bar/2/
 https://bost.ocks.org/mike/bar/3/",,
y,,26,5-Dec,Thu,Processing Large Data Sets (Spark or Hadoop),Reading TBD,,
y,,27,10-Dec,Tue,Review,,,
y,exam,28,12-Dec,Thu,Exam #2,,,
